A&B SUPPLY INC,Departmental Supplies,11/11/08,1.77
A&B SUPPLY INC,Departmental Supplies,11/11/08,24.73
A&B SUPPLY INC,Departmental Supplies,11/13/08,27.96
A&B SUPPLY INC,Maintenance Supplies,11/26/08,5.14
A&B SUPPLY INC,Maintenance Supplies,12/9/08,27.36
A&B SUPPLY INC,Maintenance Supplies,12/9/08,7.2
A&B SUPPLY INC,Maintenance Supplies,12/12/08,8.99
A&B SUPPLY INC,Maintenance Supplies,1/15/09,14.14
A&B SUPPLY INC,Maintenance Supplies,5/14/09,4.29
A&B SUPPLY INC,Departmental Supplies,5/21/09,11.94
A&B SUPPLY INC,Departmental Supplies,6/16/09,69.32
A&B SUPPLY INC,Maintenance Supplies,6/18/09,16.9
A&B SUPPLY INC,Maintenance Supplies,6/18/09,17.28
A&B SUPPLY INC,Maintenance Supplies,6/18/09,25.02
A&B SUPPLY INC,Maintenance Supplies,6/18/09,16.46
A&B SUPPLY INC,Maintenance Supplies,6/18/09,12
A&B SUPPLY INC,Maintenance Supplies,7/2/09,10.59
A&B SUPPLY INC,Maintenance Supplies,7/21/09,28.03
A&B SUPPLY INC,Departmental Supplies,8/20/09,27.38
A+ THE AMERICAN EDUCATION CORP,Tests & Testing Services,9/16/08,"5,078.70"
A+ THE AMERICAN EDUCATION CORP,Tests & Testing Services,2/10/09,"19,800.00"
A+ THE AMERICAN EDUCATION CORP,Classroom Supplies,4/21/09,660
A-1 AUTOMOTIVE EQUIPMENT REPAI,Classroom Supplies,5/28/09,40.2
A-1 AUTOMOTIVE EQUIPMENT REPAI,Classroom Supplies,6/18/09,40.2
A-1 FACTORY SERVICE CENTER,Repairs-Classroom Equipment,8/6/09,110
A-1 FREEMAN NORTH AMERICAN,Maintenance Supplies,10/14/08,522.5
A-1 FREEMAN NORTH AMERICAN,Maintenance Supplies,11/6/08,522.5
A-1 FREEMAN NORTH AMERICAN,Maintenance Supplies,3/31/09,522.5
A-1 FREEMAN NORTH AMERICAN,Maintenance Supplies,6/30/09,522.5
AA TRAINING & CONFERENCE CTR,Staff Development,9/16/08,"13,718.84"
AACA,Classroom Supplies,10/9/08,329.36
AACA,Classroom Supplies,11/26/08,187.38
AACA,Classroom Supplies,12/16/08,985.02
AACA,Classroom Supplies,1/6/09,190.16
AACA,Classroom Supplies,3/3/09,"2,274.31"
AACA,Classroom Supplies,3/12/09,344.7
AACA,Classroom Supplies,3/26/09,85.67
AACA,Classroom Supplies,4/21/09,577.05
AACA,Classroom Supplies,6/2/09,63.3
AACA,Classroom Supplies,6/2/09,-323.72
AACA,Classroom Supplies,6/2/09,769.88
AACA,Classroom Supplies,6/11/09,16.32
AACA,Classroom Supplies,6/25/09,379.61
AACA,Classroom Supplies,7/28/09,85.11
AACC CONVENTION,Advertising,9/25/08,250
